Day,Campaign name,Ad Set Name,Ad name,Amount spent (USD),Impressions,Link clicks,Family Form Submission
2025-02-03,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Carousel_Compare,7.53,244,4,
2025-02-03,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Embrace,0.49,6,,
2025-02-03,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Carousel_Compare,3.67,135,1,
2025-02-03,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Embrace,3.66,56,1,
2025-02-03,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Built,16.91,255,4,
2025-02-02,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Built,9.81,210,3,
2025-02-02,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Embrace,0.26,9,,
2025-02-02,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Carousel_Compare,9.86,233,1,
2025-02-02,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Embrace,3.78,52,,
2025-02-02,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Built,11.52,179,4,
2025-02-02,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Carousel_Compare,5.35,108,,
2025-02-01,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Carousel_Compare,5.76,98,1,
2025-02-01,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Built,7.68,163,,
2025-02-01,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Embrace,3.6,75,,
2025-02-01,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Built,9.94,245,6,
2025-02-01,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Embrace,0.31,11,,
2025-02-01,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Carousel_Compare,7.41,224,,
2025-01-31,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Carousel_Compare,13.83,397,1,
